name,city,state,address,zip_code,latitude,longitude,rating,review_count,categories,price,business_id
Rice & Noodles,Chicago,IL,2018 S Blue Island Ave,60608,41.85466024722357,-87.664192113667,4.4,96,"Desserts, Noodles, Soup",N/A,KyGDQ3Sk3mjtL9IDkKAVTw
Lost Larson Bakery,Chicago,IL,5318 N Clark St,60640,41.9786909,-87.6685133,4.2,407,"Coffee & Tea, Bakeries, Cafes",$,mYawzCeb1DiEjgR5x6rKxw
Good Ambler,Chicago,IL,216 N Peoria Ave,60607,41.886212,-87.650178,4.3,327,"Cafes, Bakeries, Coffee & Tea",$$,FoG_ATh8iMaluJK8PDsF4A
Mango House Cafe,Des Plaines,IL,562 E Algonquin Rd,60016,42.03098150576869,-87.9099459,5.0,36,Themed Cafes,N/A,GrmAOxxSuYXpjgNxbjgFyQ
Pure Tea,Chicago,IL,2105 S Jefferson St,60616,41.85432,-87.6416,4.3,72,"Bubble Tea, Desserts, Coffee & Tea",$$,qSRqUPqoQmHXHP5X2gNAyQ
Tous Les Jours,Glenview,IL,1685 Milwaukee Ave,60025,42.0863025,-87.86896151859857,4.1,376,"Bakeries, Coffee & Tea, Desserts",$$,CeJLGk3pMinVCRYw85dxqQ
Tous Les Jours,Schaumburg,IL,20 E Golf Rd,60173,42.05146,-88.07771,4.1,378,"Coffee & Tea, Bakeries, Desserts",$$,mlM3Jmhz02WzFrxwI6xsEQ
Kinzie Chophouse,Chicago,IL,400 N Wells St,60654,41.8893789,-87.634279,3.9,984,"Steakhouses, New American, Desserts",$$$$,rnjz2KNgsQ2YaC_kjeuuAQ
Dessert Cafe 365,Schaumburg,IL,233 W Golf Rd,60195,42.04784163394734,-88.085234,3.6,120,"Cafes, Bakeries, Desserts",$,1CmTajzmWv_BozC0P0RLlA
First Sip Cafe,Chicago,IL,1057 W Argyle St,60640,41.97303,-87.65733,4.4,199,"Coffee & Tea, Cafes, Sandwiches",$,BCGezgDw9erzNM29CCJSpw
TE'AMO Boba Bar,Schaumburg,IL,601 N Martingale Rd,60173,42.04007037336247,-88.03375987608652,4.2,233,"Bubble Tea, Desserts",$$,DtDOgNnGrjEH2jq0L8VFyg
Pierrot Gourmet,Chicago,IL,108 E Superior St,60611,41.896033,-87.625076,4.1,732,"Coffee & Tea, French, Desserts",$$,ltaJDoWtmmcBN2EHbch3oA
Kessho,Austin,TX,603 W Live Oak St,78704,30.24441,-97.75808,4.7,37,"Gelato, Desserts",N/A,O8gTIJ4gKin5kTbRLBOY0A
Uncle Tetsu,Austin,TX,6929 Airport Blvd,78752,30.336683909673457,-97.71664458056593,4.4,123,Desserts,$$$,l01HLUtX0_D-w0pfIxi2AA
Omg Squee,Austin,TX,4607 Bolm Rd,78702,30.26115,-97.69784,4.4,415,"Desserts, Ice Cream & Frozen Yogurt, Gluten-Free",$,v_FQkBIJUamTwg7uP704bg
Saltery ATX,Austin,TX,,78757,30.351577,-97.732522,5.0,7,"Bakeries, Pop-up Shops, Desserts",N/A,4x6MAH2wYtIfI3IVOk5ntA
SnowBall RiceBall,Austin,TX,6929 Airport Blvd,78752,30.33685336911802,-97.71662177301704,3.9,294,Desserts,$$,M-i5g-P9GKv4JvmBRPaiwQ
Azure,Austin,TX,8222 N Lamar Blvd,78753,30.352052062206603,-97.7094672,4.9,58,"Desserts, Comfort Food, Pan Asian",N/A,EdNRLQPNGh6bjq4zbi8TCw
Wicked Snow,Austin,TX,11301 Lakeline Blvd 8,78717,30.47783272936629,-97.79655430656052,4.5,38,"Desserts, Coffee & Tea, Shaved Snow",N/A,kf6bHe1gQo0Omp3p_cEIDA
Cafe Du Bliss,Austin,TX,10000 Research Blvd,78759,30.39112185843669,-97.74874739087676,4.7,35,"Cafes, Desserts",N/A,r1NLUfIG5JvfiFOsE7vMmA
Kessho,Austin,TX,6726 Burnet Rd,78757,30.343770204331115,-97.73887581553852,4.9,18,"Chocolatiers & Shops, Desserts, Food Trucks",N/A,ufaPuArDYhKpOnB92F3Mqg
Hui Lau Shan,Austin,TX,7020 Easy Wind Dr,78752,30.3384951,-97.7187753,4.3,141,"Desserts, Juice Bars & Smoothies, Hong Kong Style Cafe",$,Y5PkmIxOALtfbO61PAmznw
First Light Books,Austin,TX,4300 Speedway,78751,30.30697910958961,-97.72976896106483,4.5,88,"Bookstores, Cafes",$$,_FbncYKSmAIGd5beBltWxA
